url,imdb_id,prediction,ground_truth,name
https://youtu.be/zzwPuJklv4w,0104692,,7751971,The Lawnmower Man
https://youtu.be/gG22XNhtnoY,0108052,,656636,Schindler's List
https://youtu.be/g-HeV8Z6iXc,0109831,,138486,Four Weddings and a Funeral
https://youtu.be/yNLaTtpovys,0113161,,12700007,Get Shorty
https://youtu.be/rCCaTPY-z4Q,0116695,,17084296,Jerry Maguire
https://youtu.be/IOmm1OD2ArQ,0120490,,66920,Welcome to Sarajevo
https://youtu.be/qFee7ad2Zgo,0120376,,217,Trojan War
https://youtu.be/JUEEOxIUOL8,0119196,,118278,The Gingerbread Man
https://youtu.be/NJP7JzpfO88,0161023,,80030,Tumbleweeds
https://youtu.be/i6zhRf6uQyA,0216772,,576820,Turn it up
https://youtu.be/BPQQe2fFM3Q,0180052,,2182900,The Adventures of Pluto Nash
https://youtu.be/r5X-hFf6Bwo,0167260,,72629713,The Lord of the Rings: The Return of the King
https://youtu.be/lAxgztbYDbs,0304141,,93687367,Harry Potter and the Prisoner of Azkaban
https://youtu.be/KIk5rfA5uWE,0371257,,2188199,Stay
https://youtu.be/Q5hA3PN0uic,0460792,,410804,Fast Food Nation
https://youtu.be/g7ArZ7VD-QQ,0758758,,212440,Into the Wild
https://youtu.be/61-GFxjTyV0,1125849,,202714,The Wrestler
https://youtu.be/AIzbwV7on6Q,1010048,,360018,Slumdog Millionaire
https://youtu.be/Fi9AVKqHzHU,1116184,,50353641,Jackass 3-D
https://youtu.be/6kw1UVovByw,1074638,,88364714,Skyfall
https://youtu.be/C_Tsj_wTJkQ,1951265,,121897634,The Hunger Games: Mocking Jay - Part 1
https://youtu.be/RFinNxS5KN4,0369610,,208806270,Jurassic World
https://youtu.be/KqRdVOQ98k8,2582500,,3613567,Shut In
https://youtu.be/Vu4UPet8Nyc,4209788,,1172036,Molly's Game
https://youtu.be/7Pa_Weidt08,5117670,,25010928,Peter Rabbit
https://youtu.be/pFc6I0rgmgY,4209788,,10845330,BlacKkKlansman
https://youtu.be/JAHKQPBKSZ8,4154916,,2375325,Replicas
https://youtu.be/H6MLJG0RdDE,8364368,,12005210,Crawl
