url,imdb_id,prediction,prediction_lr
https://youtu.be/I1C2gCXo4Gs,tt0190590,,9132672.670085799
https://youtu.be/PQNLfo-SOR4,tt1324999,,39443932.77478983
https://youtu.be/Ocz50YJOFTM,tt1673434,,39079228.100007
https://youtu.be/gk39pXpBpFo,tt1394211,,
https://youtu.be/Ol6j9xlQN1w,tt1470827,,3551701.594737808
https://youtu.be/BuE98oeL-e0,tt1584016,,-506172.60256184684
https://youtu.be/-JZ_moituIo,tt1245526,,18809669.41849161
https://youtu.be/LrceH3952Hg,tt1152822,,721508.6878399523
https://youtu.be/xrQt_pwGdB0,tt1032751,,11767911.8581541
https://youtu.be/evhh3NE3fyw,tt1423995,,7141095.050678722
https://youtu.be/XBfcGLBJ2Uc,tt1142977,,12244901.767671958
https://youtu.be/nlvYKl1fjBI,tt0401729,,88421847.61002393
https://youtu.be/AJ_1eS2Erhk,tt1564349,,10947773.18595922
https://youtu.be/retX8Wj7JdM,tt1911658,,41280645.33944355
https://youtu.be/dVDk7PXNXB8,tt2293640,,26134918.8971977
https://youtu.be/T1GO-Jlfa58,tt1008023,,
https://youtu.be/JZVkLqcqmGk,tt0443496,,
https://youtu.be/NgZI5VZvAy8,tt0084805,,4975822.148427527
https://youtu.be/oEp382HIisE,tt0114898,,57477118.299729
https://youtu.be/7TavVZMewpY,tt6105098,,
https://youtu.be/H6MLJG0RdDE,tt8364368,,
https://youtu.be/H6MLJG0RdDE,tt8364368,,
https://youtu.be/i5l6a5RiR1E,tt7734218,,
https://youtu.be/1Vnghdsjmd0,tt8772262,,
https://youtu.be/NtU5Ow74P3Y,tt6320628,,
https://youtu.be/6uqvgPm8U4c,tt8079248,,
https://youtu.be/bCxm7cTpBAs,tt8350360,,
https://youtu.be/wmiIUN-7qhE,tt1979376,,
https://youtu.be/ZFy8ZgLd574,tt8663516,,
https://youtu.be/WgWsV9a3ENA,tt7456310,,
https://youtu.be/BV-WEb2oxLk,tt2283336,,
https://youtu.be/lD41XdWcmbY,tt4463894,,
https://youtu.be/DxefiCjQirw,tt6107548,,
https://youtu.be/mYocfuqu2A8,tt5113040,,
https://youtu.be/1-q8C_c-nlM,tt6565702,,
https://youtu.be/QFxN2oDKk0E,tt3741700,,
https://youtu.be/JXwmbpV2fBs,tt2066051,,
https://youtu.be/XgB4gaY2dWE,tt0086190,,13596079.361460872
https://youtu.be/98Nkqlp_hrg,tt0087469,,11238041.265287962
https://youtu.be/p2py_xcP2Wo,tt0080913,,
https://youtu.be/1tqWK4wbwk4,tt0113211,,
https://youtu.be/zQfoX6mS-0I,tt0427998,,
https://youtu.be/U1fu_sA7XhE,tt0073195,,3966594.7503207335
https://youtu.be/3y9qKMLjBfc,tt0078346,,16847617.245968483
https://youtu.be/BGT3n1Emi8U,tt0109445,,2074728.0866816072
https://youtu.be/QsWto8p7t1E,tt0104573,,4805114.230812052
https://youtu.be/h4uJ6938buE,tt0124718,,9774189.841969945
https://youtu.be/mjEdWksilWM,tt0105812,,5206564.49477593
https://youtu.be/ohIPGrbnwYc,tt0166924,,7460269.230315719
https://youtu.be/k_BybDB_phY,tt0090756,,1985041.7435098132
https://youtu.be/ELeMaP8EPAA,tt7131622,,
https://youtu.be/cd-go0oBF4Y,tt0118715,,7125399.876134314
https://youtu.be/pyWuHv2-Abk,tt5700672,,2943910.400489513
https://youtu.be/foGraEVNI0s,tt1374989,,11563557.623693256
https://youtu.be/4lj185DaZ_o,tt0097165,,6500624.02370207
https://youtu.be/3xxdYfUvi9g,tt0095159,,2854345.7699828125
https://youtu.be/mLs1y_KSTKk,tt0094332,,3451294.9218259766
https://youtu.be/D6gABQFR94U,tt0091042,,4045691.703070514
https://youtu.be/qvsgGtivCgs,tt0088763,,7490744.67648776
https://youtu.be/4NT4C1F_HZE,tt0087928,,4150030.4064382687
https://youtu.be/vEaXAsbvHV4,tt0086465,,15597778.956030957
https://youtu.be/vOIYaRb6XpQ,tt0084726,,5253508.215007139
https://youtu.be/2HCR4c1zPyk,tt0080455,,11264108.771125484
https://youtu.be/lSA7mAHolAw,tt0434409,,20282930.243303265
https://youtu.be/aWemepbqFPI,tt0107206,,13623538.783644618
https://youtu.be/hNCmb-4oXJA,tt6857112,,
https://youtu.be/EeQKCa9ez90,tt0865556,,19367331.006001562
https://youtu.be/DIM1-q-uNow,tt0113326,,7963597.318495687
https://youtu.be/I16020r--oM,tt0985694,,7064158.399725821
https://youtu.be/7aYmBrXyISA,tt0086960,,3617280.7841230487
https://youtu.be/wglmbroElU0,tt0409459,,44836444.6093822
https://youtu.be/HlAECQzTkfY,tt0119396,,2879156.770259661
https://youtu.be/8m9EVP8X7N8,tt1156398,,7612279.788451627
https://youtu.be/io8Jw9BRRFY,tt0100168,,3157045.5122224945
