url,imdb_id,prediction,openingBox
https://youtu.be/I1C2gCXo4Gs,tt0190590,493800.75268028036,195104
https://youtu.be/PQNLfo-SOR4,tt1324999,30685327.023200005,138122261
https://youtu.be/Ocz50YJOFTM,tt1673434,37083265.73401345,141067634
https://youtu.be/gk39pXpBpFo,tt1394211,117316.4911437731,2692
https://youtu.be/Ol6j9xlQN1w,tt1470827,43729.98475196776,20508
https://youtu.be/BuE98oeL-e0,tt1584016,62788.674783788425,257285
https://youtu.be/-JZ_moituIo,tt1245526,28323310.95074511,21761408
https://youtu.be/LrceH3952Hg,tt1152822,69916.06479213982,31893
https://youtu.be/xrQt_pwGdB0,tt1032751,979323.9366496813,3048665
https://youtu.be/evhh3NE3fyw,tt1423995,213317.38945365607,75766
https://youtu.be/XBfcGLBJ2Uc,tt1142977,14831423.95659767,11412213
https://youtu.be/nlvYKl1fjBI,tt0401729,64509887.83122351,30180188
https://youtu.be/AJ_1eS2Erhk,tt1564349,9563591.32713455,19152401
https://youtu.be/retX8Wj7JdM,tt1911658,15088943.572158545,25447444
https://youtu.be/dVDk7PXNXB8,tt2293640,36282645.3583179,115718405
https://youtu.be/T1GO-Jlfa58,tt1008023,196560.33243439786,135000
https://youtu.be/JZVkLqcqmGk,tt0443496,32933.583873496325,19253
https://youtu.be/NgZI5VZvAy8,tt0084805,7100184.232089207,5540470
https://youtu.be/oEp382HIisE,tt0114898,32385885.98295281,21171780
https://youtu.be/7TavVZMewpY,tt6105098,11130950.969130803,191770759
https://youtu.be/H6MLJG0RdDE,tt8364368,2920073.230820456,12005210
https://youtu.be/i5l6a5RiR1E,tt7734218,5594926.344839107,8225384
https://youtu.be/1Vnghdsjmd0,tt8772262,1513785.7701759129,6560030
https://youtu.be/NtU5Ow74P3Y,tt6320628,48182252.50768729,92579212
https://youtu.be/6uqvgPm8U4c,tt8079248,3028009.6430853195,17010050
https://youtu.be/bCxm7cTpBAs,tt8350360,4160082.9554587705,20269723
https://youtu.be/wmiIUN-7qhE,tt1979376,18216028.184749193,120908065
https://youtu.be/ZFy8ZgLd574,tt8663516,2859938.1881535808,14094594
https://youtu.be/WgWsV9a3ENA,tt7456310,1265502.6101017722,3600647
https://youtu.be/BV-WEb2oxLk,tt2283336,13525888.072629718,30035838
https://youtu.be/lD41XdWcmbY,tt4463894,6199436.23969021,8901419
https://youtu.be/DxefiCjQirw,tt6107548,32955.90856594491,246305
https://youtu.be/mYocfuqu2A8,tt5113040,12992332.758082995,46652680
https://youtu.be/1-q8C_c-nlM,tt6565702,22083621.336026527,32828348
https://youtu.be/QFxN2oDKk0E,tt3741700,30345225.428760637,47776293
https://youtu.be/JXwmbpV2fBs,tt2066051,9483118.333513863,25725722
https://youtu.be/XgB4gaY2dWE,tt0086190,498102.9033382617,23019618
https://youtu.be/98Nkqlp_hrg,tt0087469,31853360.00712259,25337110
https://youtu.be/p2py_xcP2Wo,tt0080913,232350.31968696805,318403
https://youtu.be/1tqWK4wbwk4,tt0113211,126852.66829432914,117161
https://youtu.be/zQfoX6mS-0I,tt0427998,17815.612685207958,26334
https://youtu.be/U1fu_sA7XhE,tt0073195,339168.5187627834,7061513
https://youtu.be/3y9qKMLjBfc,tt0078346,532082.1187045642,7465343
https://youtu.be/BGT3n1Emi8U,tt0109445,190432.8823276397,31665
https://youtu.be/QsWto8p7t1E,tt0104573,816863.920153335,8085915
https://youtu.be/h4uJ6938buE,tt0124718,3129445.7003416726,7610663
https://youtu.be/mjEdWksilWM,tt0105812,3628265.1640387294,14711124
https://youtu.be/ohIPGrbnwYc,tt0166924,304321.49412726425,587591
